集計年,都道府県名,10〜14歳の人口,15〜19歳の人口
2021,北海道,202000,218000
2021,青森県,48000,52000
2021,岩手県,49000,52000
2021,宮城県,97000,105000
2021,秋田県,35000,37000
2021,山形県,44000,47000
2021,福島県,75000,81000
2021,茨城県,123000,131000
2021,栃木県,83000,88000
2021,群馬県,84000,91000
2021,埼玉県,312000,326000
2021,千葉県,264000,277000
2021,東京都,520000,532000
2021,神奈川県,385000,404000
2021,新潟県,91000,96000
2021,富山県,42000,46000
2021,石川県,49000,54000
2021,福井県,35000,36000
2021,山梨県,34000,39000
2021,長野県,90000,94000
2021,岐阜県,90000,95000
2021,静岡県,161000,164000
2021,愛知県,345000,352000
2021,三重県,78000,82000
2021,滋賀県,69000,71000
2021,京都府,106000,119000
2021,大阪府,365000,390000
2021,兵庫県,240000,249000
2021,奈良県,57000,63000
2021,和歌山県,38000,40000
2021,鳥取県,24000,25000
2021,島根県,29000,30000
2021,岡山県,83000,88000
2021,広島県,127000,128000
2021,山口県,57000,58000
2021,徳島県,28000,30000
2021,香川県,41000,43000
2021,愛媛県,57000,58000
2021,高知県,27000,29000
2021,福岡県,234000,234000
2021,佐賀県,40000,40000
2021,長崎県,58000,59000
2021,熊本県,81000,80000
2021,大分県,49000,50000
2021,宮崎県,51000,48000
2021,鹿児島県,74000,71000
2021,沖縄県,83000,78000
2016,北海道,216000,237000
2016,青森県,55000,62000
2016,岩手県,55000,59000
2016,宮城県,101000,113000
2016,秋田県,39000,43000
2016,山形県,49000,52000
2016,福島県,84000,93000
2016,茨城県,131000,143000
2016,栃木県,90000,93000
2016,群馬県,91000,98000
2016,埼玉県,317000,350000
2016,千葉県,269000,291000
2016,東京都,492000,558000
2016,神奈川県,391000,430000
2016,新潟県,98000,108000
2016,富山県,47000,50000
2016,石川県,52000,58000
2016,福井県,37000,40000
2016,山梨県,37000,43000
2016,長野県,97000,102000
2016,岐阜県,96000,103000
2016,静岡県,168000,175000
2016,愛知県,348000,379000
2016,三重県,83000,90000
2016,滋賀県,70000,75000
2016,京都府,110000,127000
2016,大阪府,381000,430000
2016,兵庫県,248000,274000
2016,奈良県,61000,70000
2016,和歌山県,42000,47000
2016,鳥取県,26000,27000
2016,島根県,30000,33000
2016,岡山県,87000,96000
2016,広島県,128000,137000
2016,山口県,60000,65000
2016,徳島県,31000,34000
2016,香川県,43000,47000
2016,愛媛県,60000,65000
2016,高知県,30000,33000
2016,福岡県,226000,248000
2016,佐賀県,40000,43000
2016,長崎県,62000,66000
2016,熊本県,82000,86000
2016,大分県,50000,55000
2016,宮崎県,51000,53000
2016,鹿児島県,75000,77000
2016,沖縄県,81000,83000